Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account display name,Connection,
MNQ JUN26,Buy,1,28782.25,5/12/2026 9:42:21 AM,f4450e95f9a340e8b7988cf3d3489692,Exit,-,bee59ef4f98348cea50e14d6441b1c1f,OFI_Stop,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28777.25,5/12/2026 9:42:15 AM,dbe23f9b2cb84c44ac8c55d60bc89b87,Entry,1 S,856323ad02464318a8bb988edc1c6b70,OFI_Short,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28808.75,5/12/2026 9:33:31 AM,831bfcd1ef8b440e8db721efdc61d8c2,Exit,-,9c7d7c0beceb4ba9b7d8560bf6094442,OFI_Stop,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28803.50,5/12/2026 9:33:06 AM,bf63d8369fd640ac84f442d1966d0dd7,Entry,1 S,9a7b2889bd5b4ad18af9b117c3c40bd2,OFI_Short,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28850.50,5/12/2026 9:28:34 AM,64cd074bc76741e0a0a2a96c3bdd8095,Exit,-,461250ac23d742f6856f1ca763896323,OFI_Stop,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28855.50,5/12/2026 9:28:17 AM,484c74ef78f243228f68ac6171fd8424,Entry,1 L,90121d6953024c3e8b27f5a076126885,OFI_Long,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28876.00,5/12/2026 9:19:54 AM,4d5fee1b58b84479a0fd961f57d21927,Exit,-,f496a538e5f44afd99ba15f518aecf28,OFI_Stop,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28870.50,5/12/2026 9:19:48 AM,f4cd59c8b3ac472ba2e9dbe31f43684e,Entry,1 S,ff058bccb10b4144bd25959c020d8dfd,OFI_Short,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28893.50,5/12/2026 9:17:10 AM,46bf3ed5161b4432be22b389f6921ba8,Exit,-,2143776c58a346b5a8095de7f2d16517,OFI_Target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28883.50,5/12/2026 9:16:37 AM,2b4e9754ad6848978a4184db42e69f1f,Entry,1 L,98aa6fc9b6d14eb4b8cc30c001094efe,OFI_Long,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28875.50,5/12/2026 9:11:11 AM,7ad60d4e1fe64694965b347b74aca4bd,Exit,-,3c7903cf73284892b34f01539f55c028,OFI_Stop,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28881.00,5/12/2026 9:11:09 AM,07c45dbb9dc64820be7a1b5a5e1eb1b3,Entry,1 L,36f4644b7a254924b7ced3aa0e680371,OFI_Long,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28858.75,5/12/2026 9:09:01 AM,e8766bbd58ff494190233a2abf8a0f3a,Exit,-,f033cf587e3a4e8e8b999e59f5528e5d,OFI_Target,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28868.75,5/12/2026 9:08:45 AM,58140a925a21405a9c6d81a0fef6f60a,Entry,1 S,dd92fd59b7454dd3a2fe9c8970205231,OFI_Short,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28850.25,5/12/2026 9:01:11 AM,76b3394552fe413caed24f2ad931abce,Exit,-,15b811b8439f4849b4965f700cf69747,OFI_Target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28840.25,5/12/2026 9:01:09 AM,47809d7a253d433babdee71cd0cb3b72,Entry,1 L,686914030c65476b871ba2aae2082456,OFI_Long,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28856.75,5/12/2026 8:55:10 AM,936aa62533914f0cbd41aaeeadfea986,Exit,-,4dae72f036bf4b028a936bb503f12354,OFI_Target,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28866.75,5/12/2026 8:55:01 AM,09c268f3019746fbafe629d2d5412a93,Entry,1 S,c20f05aba79449999205ce0664fb92cb,OFI_Short,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28932.00,5/12/2026 8:39:11 AM,11f867eebf444fd386206d4cefa1cfd7,Exit,-,db1aa95a9aa543048c44056218a77d27,OFI_Stop,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28937.00,5/12/2026 8:38:56 AM,c09d00d7f01c440688d6bd11fe7ffb1c,Entry,1 L,1aef1af5beff43649d6154e8599ab698,OFI_Long,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28901.25,5/12/2026 8:33:47 AM,a383acd235d946649e00ade6fd076d0f,Exit,-,430cc2d286ec4b72a1489438889e5ac1,OFI_Stop,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28906.75,5/12/2026 8:33:25 AM,76445a09610748fdbb3522edf6ee23d6,Entry,1 L,b5021e40b0b543b0bd6eb4dad914a5e8,OFI_Long,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28884.75,5/12/2026 8:26:43 AM,90e16031b69647d0b24928310559bc24,Exit,-,6dc197097fd042a48b9041b70f8bb35c,OFI_Target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28874.75,5/12/2026 8:26:24 AM,ae8a1602675646c696c8a6e9deb84dde,Entry,1 L,79b79e67ffda4d5a83b935a9aec6588c,OFI_Long,$0.00,1,Playback101,Playback,
