Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account display name,Connection,
MNQ JUN26,Buy,1,28922.75,5/12/2026 8:38:05 AM,e589a5c372e442cf95b889924b35c683,Exit,-,85413efcfa064ff2bc0f9afe2a22ad70,OFI_Stop,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28917.50,5/12/2026 8:38:02 AM,3cd695286a234e479db816ad76fc7099,Entry,1 S,0efa0303e66c4ac7920aca2dd93e5b34,OFI_Short,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28912.00,5/12/2026 8:34:37 AM,c1c6c3ef984c41fe9f0076ce2c2b4f45,Exit,-,fa552ae8b14f4c1d843a511e8d62fd9b,OFI_Stop,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28917.00,5/12/2026 8:34:32 AM,28d67fdfeae249d385114ffd9245fbc3,Entry,1 L,ec8d5ac3254146fb85e920abaa714382,OFI_Long,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28877.00,5/12/2026 8:31:31 AM,e0164df81c094d8aaa74e41c26c564c8,Exit,-,208b3dcff2af490793150c571e97e37a,OFI_Stop,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28882.25,5/12/2026 8:31:07 AM,81fd4f70cda24f32a2f673803bf17ee6,Entry,1 L,84bb319aab32426daa2554ad8d5b5262,OFI_Long,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28882.25,5/12/2026 8:27:40 AM,cb206d2db36346929ff633a352e72bfc,Exit,-,78581328168d417588532f8df909fcbf,OFI_Stop,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28877.00,5/12/2026 8:27:38 AM,2881491e2dde43098d89761f67886261,Entry,1 S,a5e852fcd6fa4694ba7fd0466c704580,OFI_Short,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28860.75,5/12/2026 8:26:06 AM,0e6225cda26546f0bc2505cd8d48946d,Exit,-,e18b8ee0b2464876af69cd5f2f6cc60e,OFI_Target,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28870.75,5/12/2026 8:25:48 AM,d979a4d56323405094a06e21c90748dd,Entry,1 S,a657c20873f94a2282e34759340be5d8,OFI_Short,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28915.00,5/12/2026 8:22:34 AM,22c4b14220094a39aaa16343ba77d50e,Exit,-,803601d442504eaa96e0800d554302b4,OFI_Stop,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28909.75,5/12/2026 8:22:29 AM,455ea04e42d14c5088fa963bd01e12a4,Entry,1 S,e1fc296a741048a6818bf6e6a2ec1c79,OFI_Short,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28922.25,5/12/2026 8:19:12 AM,38a07e7d98ef4e8281a0a495f131ebaa,Exit,-,68422fecc96d4cefb534b9bdac3c37bd,OFI_Stop,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28917.25,5/12/2026 8:18:43 AM,b291e3504b624a629ab680c31a2d4fb1,Entry,1 S,b28bc6b90a2543d388f5ba2d1fd1ee84,OFI_Short,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28944.25,5/12/2026 8:15:36 AM,d03f09295eeb40a5b012612fef46f183,Exit,-,5e5a0778782949378064067b5f3bd6ae,OFI_Stop,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28949.25,5/12/2026 8:15:34 AM,0463fa041d4c47bdbf7945f493e0f4a0,Entry,1 L,08e8078e7e434c51ae01342393018e64,OFI_Long,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28991.00,5/12/2026 8:13:57 AM,21610729b7364af9b6a1da06f0bdb51b,Exit,-,079cf944f36b44d68e9cad9c87486ab6,OFI_Target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28981.00,5/12/2026 8:13:51 AM,67ea136dd03a4bb3842fcbbe62af458d,Entry,1 L,d170bfda23b94624bd9af095c6798044,OFI_Long,$0.00,1,Playback101,Playback,
