timestamp,side,price,size,age,event
2026-03-02 08:00:04.888,bid,24812.25,50,6,removed
2026-03-02 08:00:04.888,ask,24847.5,30,1,removed
2026-03-02 08:00:05.944,ask,24849.25,30,0,removed
2026-03-02 08:00:07.248,bid,24812.25,50,0,removed
2026-03-02 08:00:07.248,ask,24855.25,50,0,removed
2026-03-02 08:00:13.304,bid,24812.25,50,0,removed
2026-03-02 08:00:14.732,ask,24849.75,40,1,removed
2026-03-02 08:00:17.620,bid,24829.25,50,1,removed
2026-03-02 08:00:18.184,ask,24850.0,30,1,removed
2026-03-02 08:00:18.764,ask,24853.5,30,0,removed
2026-03-02 08:00:20.484,bid,24837.0,10,0,removed
2026-03-02 08:00:20.484,ask,24855.25,90,1,removed
2026-03-02 08:00:22.728,ask,24853.5,30,1,removed
2026-03-02 08:00:23.856,bid,24834.75,30,1,removed
2026-03-02 08:00:25.932,ask,24855.5,60,3,removed
2026-03-02 08:00:31.076,ask,24851.5,50,0,removed
2026-03-02 08:00:32.148,bid,24825.25,50,5,removed
2026-03-02 08:00:34.896,bid,24827.5,30,1,removed
2026-03-02 08:00:39.876,ask,24845.5,10,0,removed
2026-03-02 08:00:47.832,bid,24827.5,30,6,removed
2026-03-02 08:00:54.036,bid,24821.25,50,0,removed
2026-03-02 08:00:56.924,bid,24821.25,50,0,removed
2026-03-02 08:00:58.024,ask,24843.5,50,0,removed
2026-03-02 08:01:00.708,bid,24825.25,50,0,removed
2026-03-02 08:01:00.708,ask,24847.5,50,0,removed
2026-03-02 08:01:01.280,bid,24823.0,30,0,removed
2026-03-02 08:01:02.456,ask,24846.5,30,0,removed
2026-03-02 08:01:04.140,bid,24812.0,50,0,removed
2026-03-02 08:01:04.140,bid,24825.5,50,0,removed
2026-03-02 08:01:04.140,ask,24846.0,30,0,removed
2026-03-02 08:01:05.376,bid,24825.5,80,0,removed
2026-03-02 08:01:07.024,ask,24847.25,50,0,removed
2026-03-02 08:01:11.296,bid,24823.0,30,2,removed
2026-03-02 08:01:12.760,bid,24806.75,50,1,removed
2026-03-02 08:01:17.720,ask,24843.25,50,2,removed
2026-03-02 08:01:19.288,ask,24847.5,50,0,removed
2026-03-02 08:01:20.504,bid,24825.75,50,1,removed
2026-03-02 08:01:26.884,bid,24825.0,69,3,removed
2026-03-02 08:01:26.884,ask,24847.5,50,5,removed
2026-03-02 08:01:27.544,bid,24825.25,30,0,removed
2026-03-02 08:01:29.372,ask,24847.5,50,1,removed
2026-03-02 08:01:31.768,ask,24847.5,50,0,removed
2026-03-02 08:01:32.784,ask,24843.5,50,0,removed
2026-03-02 08:01:35.068,ask,24843.5,50,0,removed
2026-03-02 08:01:37.164,bid,24825.25,30,3,removed
2026-03-02 08:01:38.940,bid,24827.0,30,0,removed
2026-03-02 08:01:38.940,ask,24847.5,50,7,removed
2026-03-02 08:01:41.620,ask,24851.5,50,1,removed
2026-03-02 08:01:47.064,ask,24851.5,50,0,removed
2026-03-02 08:01:48.936,ask,24850.0,30,0,removed
2026-03-02 08:01:50.924,bid,24821.75,50,1,removed
2026-03-02 08:01:57.472,bid,24825.0,69,0,removed
2026-03-02 08:01:58.268,ask,24847.5,50,3,removed
2026-03-02 08:01:59.760,bid,24819.5,30,0,removed
2026-03-02 08:02:03.104,bid,24817.75,50,0,removed
2026-03-02 08:02:05.016,bid,24820.5,30,0,removed
2026-03-02 08:02:05.016,bid,24821.25,30,0,removed
2026-03-02 08:02:06.192,ask,24839.5,30,0,removed
