entry_time,exit_time,entry_price,exit_price,pnl,exit_reason
2026-03-02 08:34:19.316,2026-03-02 08:34:19.724,25009.0,25012.5,1.75,profit_target
2026-03-02 08:35:23.652,2026-03-02 08:35:24.148,25055.5,25051.125,2.1875,profit_target
2026-03-02 08:36:43.072,2026-03-02 08:36:45.204,25071.625,25073.625,-1.0,stop_loss
