param_name,trigger_model,trade_side,setup_family,trades,win_rate,gross_expectancy_ticks,net_expectancy_ticks,avg_hold_seconds,med_hold_seconds,avg_mfe_ticks,avg_mae_ticks,stops,timeouts
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_6T_PULLBACK,LONG,REJECTION,567,0.31569664902998235,-0.09171075837742504,-5.491710758377424,42.506536970017635,35.408433,16.714285714285715,9.91005291005291,567,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_6T_PULLBACK,LONG,BREAK,531,0.3145009416195857,-0.2542372881355932,-5.654237288135593,42.442753789077216,35.408433,16.50094161958569,10.167608286252355,531,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_6T_PULLBACK,LONG,REJECTION,567,0.3509700176366843,-0.4021164021164021,-5.802116402116401,50.22461576895944,39.572448,17.656084656084655,11.477954144620812,567,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_6T_PULLBACK,LONG,BREAK,531,0.3446327683615819,-0.8418079096045198,-6.241807909604519,50.0747421920904,40.339499,17.327683615819208,11.871939736346516,531,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_8T_PULLBACK,LONG,REJECTION,558,0.2885304659498208,-1.3046594982078854,-6.704659498207885,40.83260751612903,33.0170615,15.650537634408602,10.442652329749103,558,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_6T_PULLBACK,LONG,REJECTION,567,0.37918871252204583,-1.654320987654321,-7.054320987654321,64.98478102292769,51.711426,19.329805996472665,12.885361552028218,567,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_8T_PULLBACK,LONG,BREAK,510,0.27647058823529413,-1.7549019607843137,-7.154901960784313,41.071949884313725,32.765297000000004,15.107843137254902,10.698039215686274,510,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_8T_PULLBACK,LONG,REJECTION,558,0.3225806451612903,-1.8387096774193548,-7.2387096774193544,48.84734405197133,38.149842500000005,16.57168458781362,12.159498207885305,558,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_6T_PULLBACK,LONG,BREAK,531,0.3691148775894539,-2.0282485875706215,-7.428248587570621,66.06449680979284,51.24474,19.060263653483993,13.337099811676083,531,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_6T_PULLBACK,LONG,REJECTION,567,0.3862433862433862,-2.1940035273368608,-7.594003527336859,78.56129858201058,68.774218,20.80246913580247,14.744268077601411,567,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_8T_PULLBACK,LONG,REJECTION,558,0.35842293906810035,-2.259856630824373,-7.659856630824373,65.4246929498208,51.237121,18.738351254480285,13.421146953405017,558,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_6T_PULLBACK,LONG,BREAK,531,0.384180790960452,-2.4274952919020714,-7.827495291902071,81.71866257062146,67.976399,20.717514124293785,15.295668549905837,531,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_8T_PULLBACK,LONG,BREAK,510,0.3,-2.7745098039215685,-8.174509803921568,48.35170681176471,37.673387500000004,15.70392156862745,12.641176470588235,510,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_8T_PULLBACK,LONG,REJECTION,558,0.37455197132616486,-2.946236559139785,-8.346236559139784,79.30397991039426,67.849677,20.182795698924732,15.369175627240143,558,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_6T_PULLBACK,SHORT,REJECTION,548,0.2645985401459854,-3.2226277372262775,-8.622627737226278,39.53475704014599,30.235958,15.363138686131387,10.998175182481752,548,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_6T_PULLBACK,SHORT,BREAK,522,0.25287356321839083,-3.5019157088122603,-8.90191570881226,38.339443609195406,30.0083,14.741379310344827,11.455938697318008,522,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_6T_PULLBACK,SHORT,REJECTION,548,0.3175182481751825,-3.5492700729927007,-8.9492700729927,48.11473747810219,39.696247,17.014598540145986,12.917883211678832,548,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_8T_PULLBACK,LONG,BREAK,510,0.3254901960784314,-3.649019607843137,-9.049019607843137,64.46878954509805,51.237631,17.558823529411764,14.123529411764705,510,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_6T_PULLBACK,SHORT,BREAK,522,0.3045977011494253,-3.917624521072797,-9.317624521072796,48.107294116858235,40.743721,16.306513409961685,13.46743295019157,522,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_8T_PULLBACK,LONG,BREAK,510,0.34705882352941175,-4.088235294117647,-9.488235294117647,81.57487516666666,65.10701750000001,19.268627450980393,16.237254901960785,510,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_8T_PULLBACK,SHORT,REJECTION,532,0.25375939849624063,-4.2593984962406015,-9.6593984962406,39.510314413533834,30.34151,14.492481203007518,11.930451127819548,532,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_6T_PULLBACK,SHORT,REJECTION,548,0.30474452554744524,-4.436131386861314,-9.836131386861313,57.966335054744526,48.3914915,18.724452554744527,13.817518248175183,548,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_8T_PULLBACK,SHORT,REJECTION,532,0.31203007518796994,-4.701127819548872,-10.101127819548871,48.75163612593985,41.1060815,16.24436090225564,14.095864661654135,532,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_8T_PULLBACK,SHORT,BREAK,507,0.2504930966469428,-4.767258382642998,-10.167258382642997,37.342889422090735,27.966243,13.431952662721894,12.037475345167653,507,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_6T_PULLBACK,SHORT,REJECTION,548,0.30656934306569344,-4.967153284671533,-10.367153284671533,69.71856494708028,58.4383605,20.361313868613138,15.766423357664234,548,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_8T_PULLBACK,SHORT,BREAK,507,0.2958579881656805,-5.408284023668639,-10.808284023668637,47.52982408678501,39.767685,15.039447731755423,14.2465483234714,507,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_6T_PULLBACK,SHORT,BREAK,522,0.289272030651341,-5.488505747126437,-10.888505747126436,57.820098055555555,47.662043999999995,17.509578544061302,14.710727969348659,522,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_6T_PULLBACK,SHORT,BREAK,522,0.29118773946360155,-5.954022988505747,-11.354022988505745,70.43812934482759,59.009229500000004,19.350574712643677,16.7816091954023,522,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_8T_PULLBACK,SHORT,REJECTION,532,0.2781954887218045,-6.12593984962406,-11.52593984962406,56.01807498308271,47.954114000000004,17.030075187969924,14.864661654135338,532,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_8T_PULLBACK,SHORT,BREAK,507,0.27613412228796846,-6.664694280078895,-12.064694280078895,55.63970606508876,45.355974,16.074950690335307,15.18145956607495,507,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_8T_PULLBACK,SHORT,REJECTION,532,0.2857142857142857,-6.988721804511278,-12.388721804511277,66.87742535526316,56.8346855,18.612781954887218,17.0,532,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_8T_PULLBACK,SHORT,BREAK,507,0.2781065088757396,-7.224852071005917,-12.624852071005916,68.6885591755424,57.763582,18.120315581854044,17.380670611439843,507,0
