imbalance_5,imbalance_10,spread,bid_wall_strength,ask_wall_strength,top_pressure,depth_ratio,timestamp
0.0,0.0,,0.0,0.0,0.0,1.0,2026-03-02 08:00:00.012
0.9130434782608695,0.4427860696517413,,0.5416666666666667,1.0,0.0,2.5892857142857144,2026-03-02 08:00:05.028
-0.04,0.0,,0.6437908496732025,0.4933774834437086,0.0,1.0,2026-03-02 08:00:10.120
0.0,0.22058823529411764,25.0,0.7195121951219512,0.9423076923076923,0.0,1.5660377358490567,2026-03-02 08:00:15.764
-0.04477611940298507,-0.3944954128440367,23.0,0.90625,0.3918918918918919,0.0,0.4342105263157895,2026-03-02 08:00:21.172
-0.7777777777777778,-0.11392405063291139,27.0,0.48039215686274506,0.26335877862595425,0.3333333333333333,0.7954545454545454,2026-03-02 08:00:26.192
-0.5714285714285714,-0.13846153846153847,26.0,1.0,0.0,-0.8333333333333334,0.7567567567567568,2026-03-02 08:00:31.204
0.07692307692307693,0.42528735632183906,26.0,0.9754098360655739,0.5714285714285714,0.0,2.48,2026-03-02 08:00:37.024
0.3684210526315789,0.3333333333333333,27.0,1.0,0.30000000000000004,-0.3333333333333333,2.0,2026-03-02 08:00:42.188
0.04,-0.42245989304812837,24.0,1.0,0.6450381679389314,0.0,0.40601503759398494,2026-03-02 08:00:47.344
0.14285714285714285,0.17695473251028807,26.0,0.3865248226950355,0.26530612244897955,0.0,1.43,2026-03-02 08:00:52.888
-0.4418604651162791,-0.10476190476190476,,1.0,1.0,0.0,0.8103448275862069,2026-03-02 08:00:57.988
0.3939393939393939,0.10714285714285714,,0.7295081967213115,0.5,0.0,1.24,2026-03-02 08:01:03.012
-0.8666666666666667,-0.014354066985645933,,0.9705882352941178,0.7019230769230769,0.0,0.9716981132075472,2026-03-02 08:01:08.220
0.5357142857142857,-0.38461538461538464,1.0,0.75,0.556338028169014,0.0,0.4444444444444444,2026-03-02 08:01:13.236
-0.2727272727272727,-0.07352941176470588,,1.0,1.0,0.0,0.863013698630137,2026-03-02 08:01:18.716
0.4482758620689655,0.25,14.0,0.5207100591715976,0.9851485148514854,0.0,1.6666666666666667,2026-03-02 08:01:23.716
0.14285714285714285,-0.1522633744855967,11.0,0.38235294117647056,0.5869565217391304,0.0,0.7357142857142858,2026-03-02 08:01:28.744
0.6,0.06741573033707865,16.0,0.3152173913043479,0.7195121951219512,0.3333333333333333,1.144578313253012,2026-03-02 08:01:33.948
0.6,-0.23636363636363636,,0.6904761904761905,0.5638297872340425,0.0,0.6176470588235294,2026-03-02 08:01:38.968
0.9393939393939394,-0.20754716981132076,14.0,0.467741935483871,0.8157894736842106,0.0,0.65625,2026-03-02 08:01:44.012
-0.9272727272727272,-0.7373737373737373,14.0,0.75,0.6904761904761905,-0.3333333333333333,0.1511627906976744,2026-03-02 08:01:49.072
-0.6060606060606061,0.31645569620253167,13.0,0.9563106796116503,0.9423076923076925,-0.3333333333333333,1.9259259259259258,2026-03-02 08:01:54.156
