param_name,trigger_model,trade_side,setup_family,wall_side,delta_flip_pattern,orb_position,time_bucket,atr_regime,session_extreme_location,trades,win_rate,gross_expectancy_ticks,net_expectancy_ticks,avg_hold_seconds,avg_mfe_ticks,avg_mae_ticks,stops,timeouts
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,123,0.5528455284552846,1.1951219512195121,-4.204878048780487,106.36181804878048,21.634146341463413,14.105691056910569,123,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_6T_PULLBACK,SHORT,BREAK,BID,CONTINUED_SELL,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,200,0.365,1.12,-4.279999999999999,40.472646454999996,20.155,10.26,200,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_8T_PULLBACK,LONG,BREAK,ASK,CONTINUED_BUY,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,201,0.26865671641791045,1.0497512437810945,-4.350248756218905,41.61414909452736,17.676616915422887,10.35820895522388,201,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,148,0.527027027027027,0.9864864864864865,-4.413513513513513,96.42692324324324,21.64864864864865,12.986486486486486,148,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,75,0.3466666666666667,0.76,-4.64,47.102287053333335,16.733333333333334,9.426666666666666,75,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_6T_PULLBACK,SHORT,BREAK,BID,CONTINUED_SELL,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,200,0.43,0.75,-4.6499999999999995,59.07684231,24.135,12.725,200,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_8T_PULLBACK,SHORT,REJECTION,ASK,CONTINUED_SELL,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,189,0.38095238095238093,0.708994708994709,-4.691005291005291,40.81091112698413,20.137566137566136,10.507936507936508,189,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,148,0.4797297297297297,0.7027027027027027,-4.697297297297297,80.5111142972973,20.074324324324323,11.736486486486486,148,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_6T_PULLBACK,SHORT,BREAK,BID,CONTINUED_SELL,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,200,0.425,0.7,-4.699999999999999,68.110642865,25.855,13.975,200,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,146,0.5273972602739726,0.6917808219178082,-4.708219178082191,97.80568916438355,21.30821917808219,13.513698630136986,146,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,146,0.4863013698630137,0.6575342465753424,-4.742465753424657,83.86712969863014,19.86986301369863,12.212328767123287,146,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_6T_PULLBACK,SHORT,REJECTION,ASK,CONTINUED_SELL,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,195,0.4307692307692308,0.6205128205128205,-4.7794871794871785,56.97198660512821,23.892307692307693,11.625641025641025,195,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,200,0.305,0.575,-4.824999999999999,42.066832000000005,17.775,10.16,200,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_6T_PULLBACK,SHORT,REJECTION,ASK,CONTINUED_SELL,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,195,0.4256410256410256,0.48205128205128206,-4.917948717948717,65.66080442051282,25.605128205128207,12.861538461538462,195,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_8T_PULLBACK,LONG,BREAK,ASK,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,122,0.5245901639344263,0.2786885245901639,-5.1213114754098354,105.91971371311475,20.852459016393443,14.327868852459016,122,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,CONTINUED_BUY,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,204,0.3235294117647059,0.11274509803921569,-5.287254901960784,48.64921360784314,18.681372549019606,12.127450980392156,204,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_8T_PULLBACK,SHORT,REJECTION,ASK,CONTINUED_SELL,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,189,0.4444444444444444,0.05291005291005291,-5.3470899470899464,58.915990074074074,23.703703703703702,12.873015873015873,189,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_8T_PULLBACK,SHORT,BREAK,BID,CONTINUED_SELL,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,191,0.42408376963350786,0.04712041884816754,-5.352879581151832,48.44742985863874,20.87958115183246,12.61780104712042,191,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,123,0.4878048780487805,-0.04878048780487805,-5.448780487804878,87.78653724390244,19.471544715447155,12.804878048780488,123,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,197,0.27918781725888325,-0.19796954314720813,-5.597969543147208,40.70694775634518,16.908629441624367,10.715736040609137,197,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,148,0.3918918918918919,-0.35135135135135137,-5.751351351351351,55.82184368243243,17.16891891891892,11.202702702702704,148,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_8T_PULLBACK,SHORT,REJECTION,ASK,CONTINUED_SELL,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,189,0.42857142857142855,-0.42857142857142855,-5.828571428571428,67.11259373015874,25.12169312169312,14.227513227513228,189,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_8T_PULLBACK,LONG,BREAK,ASK,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,50,0.42,-0.6,-6.0,89.1143362,19.92,13.64,50,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_8T_PULLBACK,LONG,BREAK,ASK,CONTINUED_BUY,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,201,0.27860696517412936,-0.6069651741293532,-6.006965174129353,46.97012956716417,17.82089552238806,12.283582089552239,201,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_8T_PULLBACK,SHORT,BREAK,BID,CONTINUED_SELL,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,191,0.4293193717277487,-0.675392670157068,-6.0753926701570675,57.34966251308901,22.81675392670157,13.455497382198953,191,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,200,0.325,-0.75,-6.149999999999999,46.53588704,18.145,11.93,200,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_8T_PULLBACK,LONG,BREAK,ASK,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,122,0.45901639344262296,-0.7950819672131147,-6.195081967213114,87.35582091803279,18.672131147540984,12.991803278688524,122,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_8T_PULLBACK,SHORT,BREAK,BID,CONTINUED_SELL,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,191,0.34554973821989526,-0.8429319371727748,-6.2429319371727745,38.111198764397905,18.31413612565445,10.973821989528796,191,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,148,0.33783783783783783,-0.8986486486486487,-6.298648648648649,44.87517630405406,15.858108108108109,9.81081081081081,148,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_8T_PULLBACK,SHORT,BREAK,BID,CONTINUED_SELL,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,191,0.4031413612565445,-0.93717277486911,-6.337172774869109,66.99928371204189,24.67539267015707,14.884816753926701,191,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_8T_PULLBACK,LONG,BREAK,ASK,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,50,0.34,-1.04,-6.439999999999999,46.4763255,15.14,10.18,50,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_6T_PULLBACK,SHORT,REJECTION,ASK,BUY_TO_SELL_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,156,0.38461538461538464,-1.0705128205128205,-6.47051282051282,71.78769303846154,24.192307692307693,15.25,156,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,123,0.3821138211382114,-1.1056910569105691,-6.505691056910568,58.61899234146342,15.967479674796747,11.902439024390244,123,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,146,0.3904109589041096,-1.1917808219178083,-6.5917808219178085,56.34214248630137,16.28767123287671,11.821917808219178,146,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,CONTINUED_BUY,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,204,0.3284313725490196,-1.2058823529411764,-6.605882352941176,61.24307593627451,20.29901960784314,13.926470588235293,204,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,145,0.2689655172413793,-1.2137931034482758,-6.613793103448275,37.48856217931035,15.620689655172415,10.048275862068966,145,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_6T_PULLBACK,SHORT,REJECTION,ASK,BUY_TO_SELL_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,156,0.3717948717948718,-1.3012820512820513,-6.701282051282051,58.750725660256414,22.03205128205128,13.493589743589743,156,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_6T_PULLBACK,SHORT,REJECTION,ASK,BUY_TO_SELL_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,156,0.36538461538461536,-1.5576923076923077,-6.957692307692307,50.13374033333333,19.602564102564102,13.096153846153847,156,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_8T_PULLBACK,LONG,BREAK,ASK,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,50,0.34,-1.6,-6.999999999999999,68.13292924000001,17.38,12.16,50,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,197,0.29441624365482233,-1.8020304568527918,-7.202030456852792,46.21851197461929,17.233502538071065,12.583756345177665,197,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,SELL_TO_BUY_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,143,0.27972027972027974,-1.8531468531468531,-7.253146853146852,38.60233676223776,15.37062937062937,10.552447552447552,143,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_6T_PULLBACK,SHORT,BREAK,BID,BUY_TO_SELL_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,144,0.2986111111111111,-1.9097222222222223,-7.309722222222222,41.21513133333333,15.833333333333334,11.42361111111111,144,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_8T_PULLBACK,LONG,BREAK,ASK,CONTINUED_BUY,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,201,0.29850746268656714,-2.0945273631840795,-7.494527363184079,61.936180651741296,19.8407960199005,14.537313432835822,201,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_8T_PULLBACK,LONG,BREAK,ASK,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,50,0.36,-2.16,-7.559999999999999,51.924942019999996,15.7,12.02,50,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,145,0.27586206896551724,-2.179310344827586,-7.5793103448275865,43.219089703448276,16.137931034482758,11.696551724137931,145,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,146,0.3219178082191781,-2.2054794520547945,-7.6054794520547935,43.29319326712329,14.58904109589041,10.356164383561644,146,0
S16_A12_SW10_B4_L20x5_L30x10,CONFIRM_6T_PULLBACK,SHORT,REJECTION,ASK,BUY_TO_SELL_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,156,0.28205128205128205,-2.217948717948718,-7.617948717948717,41.698734314102566,16.365384615384617,11.192307692307692,156,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_8T_PULLBACK,LONG,BREAK,ASK,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,122,0.3770491803278688,-2.221311475409836,-7.6213114754098354,58.57107686885246,15.172131147540984,12.065573770491802,122,0
