Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account display name,Connection,
MNQ JUN26,Buy,1,25390.75,4/13/2026 11:37:23 AM,05cf38f8204c4ced999d284c28576592,Entry,1 L,7c42102a49d44ad3a9c2f19910aec2aa,ABSORPTION_153151,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25368.25,4/13/2026 11:28:43 AM,f360b8254a8e46b3b3f5e94c8b423fd7,Exit,-,9790b1f6b08d43d5a30207c71f688b4c,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25360.25,4/13/2026 11:27:43 AM,996586780c174a7e9d7a0ebbd66e2e3b,Entry,1 L,e08d37b037614013ae5cf15cda21d0d0,ABSORPTION_153146,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25341.75,4/13/2026 11:21:50 AM,e1975a77929144ba8200f9672017f98d,Exit,-,8097f7c05ec543f3bb0da354b0d4ae7b,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25333.75,4/13/2026 11:20:34 AM,bb353a0ec3a742508ae3ea7e479290d1,Entry,1 L,c1c2882880704392bbbdfb930e87833a,ABSORPTION_153143,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25319.25,4/13/2026 11:12:36 AM,a6bbcc8bd384499694b9e152b743bc4d,Exit,-,72cfedbca36c4e36b1849aa3d856ed31,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25324.50,4/13/2026 11:12:23 AM,e4bd22898b2d4c4583b0756dda821697,Entry,1 L,3dce262dc8a7492eac9980c11de13a4b,ABSORPTION_153139,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25309.00,4/13/2026 10:58:33 AM,a3a95c364b6e4aca8dd1665dd78703b0,Exit,-,f57beb5f3ed645d085c3bb051bf9059c,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25304.00,4/13/2026 10:58:07 AM,3a170089b737417d91cbebc6e2be4dcd,Entry,1 S,5b878d056ac34250bc885f3c764d756e,ABSORPTION_153133,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25318.00,4/13/2026 10:49:48 AM,7d019d11e21d466e81c175b2c0b40395,Exit,-,b188f2901436447c9954880a0ede2b24,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25313.00,4/13/2026 10:49:34 AM,48a9dc4e3f404ceb9f2a9e1eeedb9662,Entry,1 S,c9a45d7884ba4d8da27f44db95e4d124,ABSORPTION_153130,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25331.75,4/13/2026 10:42:13 AM,81f5c7e3c26946709e5f592456f28efa,Exit,-,b6ca0491698c4a8087a7903c21c681b9,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25337.00,4/13/2026 10:41:46 AM,a035b4c958c44c3884a3c710878851e2,Entry,1 L,08d55ada38844668944fa27908c3fce5,ABSORPTION_153127,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25311.25,4/13/2026 10:36:24 AM,7abf641a58f1427c95de2ee347ff9cf9,Exit,-,f4405c01c52c4ddfad236a0a3cb85b94,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25306.25,4/13/2026 10:36:07 AM,6311561353b64bd1bba6ec10e6f4b60a,Entry,1 S,a4d1c70cc124491a936e203eaca1dd5b,ABSORPTION_153124,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25318.25,4/13/2026 10:28:00 AM,f099c576006d443390dd907494971d0e,Exit,-,72d5500135924c3d912bee643473fd35,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25313.25,4/13/2026 10:27:25 AM,f54c8b96151c49d8ae1bd0ffd4238b6b,Entry,1 S,9142b4d2597846f181f41a7efaf35879,ABSORPTION_153120,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25323.75,4/13/2026 10:20:26 AM,854375020d9e4ab8b632a09340ff37c6,Exit,-,f8e3bda3981b4c6e9bb818874c4a50d2,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25318.75,4/13/2026 10:20:05 AM,e024c71501ad432fa3cccec04b6b466e,Entry,1 S,cd49ff93bb03444fb4335450d6f5b8dd,ABSORPTION_153117,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25343.00,4/13/2026 10:12:25 AM,e26252e9b0f74ccd9d03225ba915fd1a,Exit,-,9979f885ce2e4843af95acb907bef14e,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25348.00,4/13/2026 10:12:22 AM,67683907c3ca4353a05738d82ba04357,Entry,1 L,c9794efddcf44c569ca0000ad2d69c4e,ABSORPTION_153113,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25324.75,4/13/2026 10:07:33 AM,a1b9b58ca37b4801a0d9819563f97583,Exit,-,9870555c1c1f455499a058faedbaa820,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25316.75,4/13/2026 10:06:20 AM,40707e0cdda4410fa5a7a9a098652e24,Entry,1 L,1fd745a6905141f698c19c617bb569b3,ABSORPTION_153110,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25343.75,4/13/2026 9:57:51 AM,9ed6a77bf5f344d9a16cea069162736a,Exit,-,37aa693173a34233b550916643165155,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25335.75,4/13/2026 9:57:05 AM,7174a7297f9043da99ab8d238983de40,Entry,1 L,b7ced7b895ad4eb4b58f57202c790d45,ABSORPTION_153105,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25299.50,4/13/2026 9:51:02 AM,b5ed3ffeace84391a6c3277411f67471,Exit,-,e28fecb6e6084e328e81333e8c3f6ca7,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25304.75,4/13/2026 9:50:59 AM,b3af7a545f324cab9cfae140ca2732bd,Entry,1 L,553e8343d22e4b9cae1ca10ead8c5b95,ABSORPTION_153102,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25306.75,4/13/2026 9:43:21 AM,0100f1cff43c4364af966453a2961c6f,Exit,-,bc29bd21233f4c01883aa46a6c9feb4f,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25298.75,4/13/2026 9:43:00 AM,dcee98b5bbcd435a877883abd14cd170,Entry,1 L,a3e55ae95e194fddafa8e681e3c06e6b,ABSORPTION_153057,$0.00,1,Playback101,Playback,
