Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account display name,Connection,
MNQ JUN26,Buy,1,25584.00,4/13/2026 5:20:51 PM,905ac52642b4481ebac54a90d228826d,Entry,1 L,f35d580560f34cddad01a07c8e096afe,BREAKOUT_020721,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25583.75,4/13/2026 5:20:03 PM,a91da5fd451f4c2c9ab532687dbeb0fa,Exit,-,04767edbbe594dd5aff4a5fb7105ed6d,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25589.75,4/13/2026 5:18:18 PM,acbb154b8812432c91f2936f667133e4,Entry,1 S,528cf496799d4d41bce855b6dc814c29,ABSORPTION_020719,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25590.00,4/13/2026 5:18:17 PM,affc1f093d5b4a22a63ed95da4e43c77,Exit,-,91348b8f68034b36827285be26b1fe2a,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25586.00,4/13/2026 5:14:37 PM,52fa88f281c74917a46a598b01c03e7d,Entry,1 S,f4bb1cdf22ce49228836f6919d62547f,BREAKOUT_020716,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25585.75,4/13/2026 5:14:25 PM,c6e9db37415a44aebe1077630e6b6d70,Exit,-,42a8bafca3fd4242a1f094c508cbcc31,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25581.75,4/13/2026 5:11:52 PM,55ea940e30254477a5084a718e2762f3,Entry,1 S,aa6e6e8b6156420b889e5d1064d5a437,BREAKOUT_020714,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25584.25,4/13/2026 5:09:23 PM,bea6406244b74488924a8a4668215253,Exit,-,03568e7297e145219c36f8ac007bce7f,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25579.75,4/13/2026 5:08:59 PM,515ea60c066d4c0a96cd86c5a05ff828,Entry,1 S,a244cca2f71d46eca92f72b10f563f32,BREAKOUT_020712,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25598.00,4/13/2026 5:07:01 PM,b1c5b2a7e86b4bd5bc3d808ed645ffd1,Exit,-,932a11c14cbb4ee1ba7aea11ba413a5a,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25590.00,4/13/2026 5:06:14 PM,830e53b14c4f4abaa730d46c64de97ab,Entry,1 L,f2fc841daf004068915183a400505fc3,BREAKOUT_020710,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25580.50,4/13/2026 5:04:01 PM,ffe63e27b0144cddac5128bdcf556909,Exit,-,1ce09cd2a8ce456094016e4e370f3318,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25584.50,4/13/2026 5:03:18 PM,17a4a93dac3b4a2aadec7e5309e15586,Entry,1 L,681fe73202c346fd8a79706b92daa2b6,BREAKOUT_020708,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25577.00,4/13/2026 5:00:04 PM,ba1236b299bb4e259e8cb024eb1f073b,Exit,-,b6c2bc4813fc4487b249847f16a55cbe,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25572.75,4/13/2026 5:00:03 PM,bd4102ea91544a28935f1ddbc7c19a56,Entry,1 S,39a05f2e800243df8e374a7cd767b2ed,BREAKOUT_020706,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25575.75,4/13/2026 5:00:01 PM,a53a855c14844d4a944d397d2792b801,Exit,-,073a6b223a3d4d49811bc11ef25e8104,Stop loss,$0.00,1,Playback101,Playback,
