Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account display name,Connection,
MNQ JUN26,Sell,1,25361.50,4/13/2026 11:25:05 AM,e138655317f347c1bb29aaa6e9cf86d9,Exit,-,a1b1941f2a68408ab5884b6eeacce283,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25353.50,4/13/2026 11:24:51 AM,ea40538d920246e395a865948d5d32b7,Entry,1 L,73e499701e5646af9d63bebe43094c5d,ABSORPTION_164555,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25339.50,4/13/2026 11:20:02 AM,897ec3345d474ccd8b7e533128a0ac51,Exit,-,3e6e8b92bd4643d4ad26a0f86730568c,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25331.50,4/13/2026 11:19:33 AM,14f3e329cd484af98c090732e16355a9,Entry,1 L,46a908ca354a4804957e4b439fdc5031,ABSORPTION_164552,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25324.00,4/13/2026 11:11:57 AM,fb35ff3a888b4d22977f2a9fb6e91c04,Exit,-,4447d3f292c242ec95213eb73848e29e,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25329.00,4/13/2026 11:11:53 AM,868b47b5256f45da93424e47a4e3e9ed,Entry,1 L,0d7306b9f2c34c13af13b9c020c5f433,ABSORPTION_164548,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25292.75,4/13/2026 11:01:36 AM,b2eb864985e843d1974a3a08a671a2d8,Exit,-,811d4e118148406b99205b4577d9358f,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25300.75,4/13/2026 11:01:11 AM,9b7a6f3dc04d4ecc944c7f91f19c46a7,Entry,1 S,dc9f8ddda7b444f3acbd6f714ccb697d,ABSORPTION_164542,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25306.50,4/13/2026 10:54:55 AM,003255d3562141fc905b005051238f70,Exit,-,5af20f0a2be343e5bc1e0a54c8cde17e,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25314.50,4/13/2026 10:52:49 AM,860316656199408283a6b0e6eae0a3dc,Entry,1 S,4cc116f969a2484e841de56363cf7f3e,ABSORPTION_164538,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25325.75,4/13/2026 10:46:21 AM,d6d9e4c7bb424477afdbaf9151d5f8de,Exit,-,240fa2a772bb4c1f8506347e1046f00f,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25320.75,4/13/2026 10:46:03 AM,da29eea4192c44b78d98a546502a7798,Entry,1 S,21479c2c012a42ae9eef578eaf392a26,ABSORPTION_164535,$0.00,1,Playback101,Playback,
