NinjaScript File,Error,Code,Line,Column,
CGScalpingStrategyNT8Native_v4_1_ShortGate_FIXED.cs,Type 'CGScalpingStrategyNT8Native_v4_1_ShortGate' already defines a member called 'ExecuteSignal' with the same parameter types,CS0111,980,16,
CGScalpingStrategyNT8Native_v4_1_ShortGate_BACKUP.cs,Type 'CGScalpingStrategyNT8Native_v4_1_ShortGate' already defines a member called 'CheckTimeBasedExit' with the same parameter types,CS0111,1035,16,
CGScalpingStrategyNT8Native_v4_1_ShortGate_FIXED.cs,Type 'CGScalpingStrategyNT8Native_v4_1_ShortGate' already defines a member called 'CheckTimeBasedExit' with the same parameter types,CS0111,1045,16,
CGScalpingStrategyNT8Native_v4_1_ShortGate_BACKUP.cs,Type 'CGScalpingStrategyNT8Native_v4_1_ShortGate' already defines a member called 'CheckMaxTradesGate' with the same parameter types,CS0111,1056,16,
CGScalpingStrategyNT8Native_v4_1_ShortGate_FIXED.cs,Type 'CGScalpingStrategyNT8Native_v4_1_ShortGate' already defines a member called 'CheckMaxTradesGate' with the same parameter types,CS0111,1066,16,
CGScalpingStrategyNT8Native_v4_1_ShortGate_BACKUP.cs,Type 'CGScalpingStrategyNT8Native_v4_1_ShortGate' already defines a member called 'IsRTH' with the same parameter types,CS0111,1075,16,
CGScalpingStrategyNT8Native_v4_1_ShortGate_FIXED.cs,Type 'CGScalpingStrategyNT8Native_v4_1_ShortGate' already defines a member called 'IsRTH' with the same parameter types,CS0111,1085,16,
CGScalpingStrategyNT8Native_v4_1_ShortGate_BACKUP.cs,Type 'CGScalpingStrategyNT8Native_v4_1_ShortGate' already defines a member called 'ResetDailyTracking' with the same parameter types,CS0111,1098,16,
CGScalpingStrategyNT8Native_v4_1_ShortGate_FIXED.cs,Type 'CGScalpingStrategyNT8Native_v4_1_ShortGate' already defines a member called 'ResetDailyTracking' with the same parameter types,CS0111,1108,16,
CGScalpingStrategyNT8Native_v4_1_ShortGate_BACKUP.cs,Type 'CGScalpingStrategyNT8Native_v4_1_ShortGate' already defines a member called 'OnExecutionUpdate' with the same parameter types,CS0111,1134,27,
CGScalpingStrategyNT8Native_v4_1_ShortGate_FIXED.cs,Type 'CGScalpingStrategyNT8Native_v4_1_ShortGate' already defines a member called 'OnExecutionUpdate' with the same parameter types,CS0111,1144,27,
CGScalpingStrategyNT8Native_v4_1_ShortGate_BACKUP.cs,Type 'CGScalpingStrategyNT8Native_v4_1_ShortGate.OrderFlowBar' already defines a member called 'OrderFlowBar' with the same parameter types,CS0111,47,11,
CGScalpingStrategyNT8Native_v4_1_ShortGate_FIXED.cs,Type 'CGScalpingStrategyNT8Native_v4_1_ShortGate.OrderFlowBar' already defines a member called 'OrderFlowBar' with the same parameter types,CS0111,47,11,
