entry_time,exit_time,direction,entry_price,exit_price,pnl,bars_held,reason,exit_reason
2025-10-01 04:00:16,2025-10-01 04:00:41,short,24771.5,24772.75,-10.0,17,breakout_ask_wall@24777.00,stop_loss
2025-10-01 04:00:54,2025-10-01 04:01:55,short,24774.75,24776.0,-10.0,55,breakout_ask_wall@24777.00,stop_loss
2025-10-01 04:03:03,2025-10-01 04:03:09,short,24773.75,24775.0,-10.0,6,breakout_ask_wall@24777.00,stop_loss
2025-10-01 04:04:08,2025-10-01 04:04:21,short,24774.25,24771.75,20.0,13,breakout_ask_wall@24777.00,profit_target
2025-10-01 04:04:50,2025-10-01 04:05:26,short,24776.5,24774.0,20.0,32,breakout_ask_wall@24777.00,profit_target
2025-10-01 04:14:17,2025-10-01 04:15:01,short,24776.75,24778.0,-10.0,36,breakout_ask_wall@24777.00,stop_loss
2025-10-01 04:18:43,2025-10-01 04:19:04,short,24774.25,24771.75,20.0,18,breakout_ask_wall@24777.00,profit_target
2025-10-01 04:20:15,2025-10-01 04:20:33,short,24776.5,24774.0,20.0,12,breakout_ask_wall@24777.00,profit_target
2025-10-01 04:25:44,2025-10-01 04:25:59,short,24778.5,24776.0,20.0,15,breakout_ask_wall@24777.00,profit_target
2025-10-01 04:29:57,2025-10-01 04:30:05,short,24779.25,24776.75,20.0,8,breakout_ask_wall@24777.00,profit_target
2025-10-01 04:30:07,2025-10-01 04:30:30,short,24779.25,24776.75,20.0,15,breakout_ask_wall@24777.00,profit_target
2025-10-01 04:30:35,2025-10-01 04:30:39,short,24775.5,24776.75,-10.0,4,breakout_ask_wall@24777.00,stop_loss
2025-10-01 04:30:40,2025-10-01 04:31:02,short,24776.75,24778.0,-10.0,19,breakout_ask_wall@24777.00,stop_loss
2025-10-01 04:31:08,2025-10-01 04:31:33,short,24777.5,24778.75,-10.0,22,breakout_ask_wall@24777.00,stop_loss
2025-10-01 04:32:04,2025-10-01 04:32:17,short,24778.25,24779.5,-10.0,8,breakout_ask_wall@24777.00,stop_loss
2025-10-01 04:33:00,2025-10-01 04:33:04,short,24778.25,24775.75,20.0,4,breakout_ask_wall@24777.00,profit_target
2025-10-01 04:33:06,2025-10-01 04:33:31,short,24778.25,24779.5,-10.0,21,breakout_ask_wall@24777.00,stop_loss
2025-10-01 04:33:59,2025-10-01 04:34:26,short,24778.5,24779.75,-10.0,17,breakout_ask_wall@24777.00,stop_loss
2025-10-01 04:34:56,2025-10-01 04:35:05,short,24778.0,24779.25,-10.0,7,breakout_ask_wall@24777.00,stop_loss
2025-10-01 04:35:50,2025-10-01 04:35:51,short,24782.75,24780.25,20.0,1,breakout_ask_wall@24777.00,profit_target
2025-10-01 04:39:14,2025-10-01 04:39:32,short,24780.75,24782.0,-10.0,16,breakout_ask_wall@24777.00,stop_loss
2025-10-01 04:41:27,2025-10-01 04:41:43,short,24776.5,24777.75,-10.0,14,breakout_ask_wall@24780.00,stop_loss
2025-10-01 04:41:52,2025-10-01 04:42:28,short,24777.75,24779.0,-10.0,28,breakout_ask_wall@24780.00,stop_loss
2025-10-01 04:42:41,2025-10-01 04:42:51,short,24777.0,24774.5,20.0,5,breakout_ask_wall@24780.00,profit_target
2025-10-01 04:43:06,2025-10-01 04:43:44,short,24778.25,24779.5,-10.0,27,breakout_ask_wall@24780.00,stop_loss
2025-10-01 04:43:47,2025-10-01 04:44:08,short,24777.75,24775.25,20.0,18,breakout_ask_wall@24780.00,profit_target
2025-10-01 04:46:40,2025-10-01 04:46:51,short,24773.75,24775.0,-10.0,7,breakout_ask_wall@24780.00,stop_loss
2025-10-01 04:47:01,2025-10-01 04:47:08,short,24773.75,24775.0,-10.0,5,breakout_ask_wall@24780.00,stop_loss
2025-10-01 04:50:19,2025-10-01 04:50:24,short,24776.0,24773.5,20.0,5,breakout_ask_wall@24770.00,profit_target
2025-10-01 04:50:56,2025-10-01 04:51:53,short,24774.75,24772.25,20.0,46,breakout_ask_wall@24770.00,profit_target
2025-10-01 05:00:01,2025-10-01 05:00:09,short,24774.75,24776.0,-10.0,7,breakout_ask_wall@24780.00,stop_loss
2025-10-01 05:03:10,2025-10-01 05:03:20,short,24779.25,24776.75,20.0,9,breakout_ask_wall@24790.00,profit_target
2025-10-01 05:05:34,2025-10-01 05:06:49,short,24777.25,24778.5,-10.0,53,breakout_ask_wall@24775.00,stop_loss
2025-10-01 05:06:51,2025-10-01 05:07:06,short,24778.0,24775.5,20.0,13,breakout_ask_wall@24790.00,profit_target
2025-10-01 05:07:49,2025-10-01 05:08:00,short,24779.25,24776.75,20.0,7,breakout_ask_wall@24790.00,profit_target
2025-10-01 05:08:52,2025-10-01 05:09:51,short,24776.75,24778.0,-10.0,35,breakout_ask_wall@24775.00,stop_loss
2025-10-01 05:10:27,2025-10-01 05:10:28,short,24766.25,24767.5,-10.0,1,breakout_ask_wall@24760.00,stop_loss
2025-10-01 05:12:02,2025-10-01 05:12:48,short,24775.5,24776.75,-10.0,30,breakout_ask_wall@24775.00,stop_loss
2025-10-01 05:12:53,2025-10-01 05:13:53,short,24776.5,24774.0,20.0,35,breakout_ask_wall@24775.00,profit_target
2025-10-01 05:19:02,2025-10-01 05:19:49,short,24767.25,24764.75,20.0,38,breakout_ask_wall@24760.00,profit_target
2025-10-01 05:21:49,2025-10-01 05:22:11,short,24764.25,24761.75,20.0,18,breakout_ask_wall@24760.00,profit_target
2025-10-01 05:26:23,2025-10-01 05:26:38,short,24760.75,24758.25,20.0,13,breakout_ask_wall@24750.00,profit_target
2025-10-01 05:27:01,2025-10-01 05:27:07,short,24761.75,24763.0,-10.0,6,breakout_ask_wall@24770.00,stop_loss
