entry_time,exit_time,direction,entry_price,exit_price,pnl,bars_held,reason,exit_reason
2025-10-10 04:00:00,2025-10-10 04:00:01,short,25316.75,25318.0,-10.0,1,breakout_ask_wall@25322.25,stop_loss
2025-10-10 04:00:06,2025-10-10 04:00:15,short,25319.0,25320.25,-10.0,9,breakout_ask_wall@25322.25,stop_loss
2025-10-10 04:00:16,2025-10-10 04:00:59,short,25320.25,25317.75,20.0,39,breakout_ask_wall@25322.25,profit_target
2025-10-10 04:01:27,2025-10-10 04:01:31,short,25318.75,25320.0,-10.0,3,breakout_ask_wall@25330.00,stop_loss
2025-10-10 04:01:49,2025-10-10 04:02:04,short,25320.0,25317.5,20.0,11,breakout_ask_wall@25330.00,profit_target
2025-10-10 04:02:15,2025-10-10 04:02:16,short,25322.75,25320.25,20.0,1,breakout_ask_wall@25335.00,profit_target
2025-10-10 04:02:20,2025-10-10 04:04:07,short,25317.5,25318.75,-10.0,81,breakout_ask_wall@25330.00,stop_loss
2025-10-10 04:04:29,2025-10-10 04:04:36,long,25320.0,25318.75,-10.0,6,breakout_bid_wall@25315.00,stop_loss
2025-10-10 04:04:40,2025-10-10 04:04:41,long,25323.25,25322.0,-10.0,1,breakout_bid_wall@25315.00,stop_loss
2025-10-10 04:05:08,2025-10-10 04:05:48,short,25319.75,25317.25,20.0,30,breakout_ask_wall@25331.00,profit_target
2025-10-10 04:06:13,2025-10-10 04:06:36,short,25318.25,25319.5,-10.0,17,breakout_ask_wall@25329.00,stop_loss
2025-10-10 04:08:51,2025-10-10 04:09:47,short,25319.75,25317.25,20.0,42,breakout_ask_wall@25332.25,profit_target
2025-10-10 04:12:52,2025-10-10 04:12:57,short,25320.5,25321.75,-10.0,5,breakout_ask_wall@25333.00,stop_loss
2025-10-10 04:13:02,2025-10-10 04:13:09,long,25320.75,25319.5,-10.0,6,breakout_bid_wall@25318.00,stop_loss
2025-10-10 05:00:38,2025-10-10 05:01:17,long,25306.0,25304.75,-10.0,32,breakout_bid_wall@25300.00,stop_loss
2025-10-10 05:01:20,2025-10-10 05:02:01,long,25307.5,25306.25,-10.0,37,breakout_bid_wall@25300.00,stop_loss
2025-10-10 05:02:37,2025-10-10 05:03:17,long,25307.75,25306.5,-10.0,35,breakout_bid_wall@25301.75,stop_loss
2025-10-10 05:03:27,2025-10-10 05:03:36,short,25306.0,25303.5,20.0,7,breakout_ask_wall@25315.00,profit_target
2025-10-10 05:04:26,2025-10-10 05:04:47,long,25300.0,25298.75,-10.0,18,breakout_bid_wall@25300.00,stop_loss
2025-10-10 05:07:03,2025-10-10 05:07:12,long,25304.25,25303.0,-10.0,7,breakout_bid_wall@25300.00,stop_loss
2025-10-10 05:11:06,2025-10-10 05:11:31,long,25312.25,25311.0,-10.0,20,breakout_bid_wall@25300.00,stop_loss
2025-10-10 05:11:42,2025-10-10 05:11:59,short,25311.75,25309.25,20.0,15,breakout_ask_wall@25321.00,profit_target
2025-10-10 05:13:12,2025-10-10 05:13:14,long,25312.0,25310.75,-10.0,2,breakout_bid_wall@25300.00,stop_loss
2025-10-10 05:13:29,2025-10-10 05:14:36,long,25312.75,25315.25,20.0,49,breakout_bid_wall@25310.25,profit_target
2025-10-10 05:15:03,2025-10-10 05:15:24,long,25313.0,25315.5,20.0,19,breakout_bid_wall@25305.00,profit_target
2025-10-10 05:20:05,2025-10-10 05:20:06,long,25318.25,25317.0,-10.0,1,breakout_bid_wall@25306.00,stop_loss
2025-10-10 05:32:18,2025-10-10 05:32:19,short,25322.5,25323.75,-10.0,1,breakout_ask_wall@25335.00,stop_loss
2025-10-10 05:32:45,2025-10-10 05:33:26,short,25322.0,25323.25,-10.0,33,breakout_ask_wall@25324.50,stop_loss
2025-10-10 05:45:02,2025-10-10 05:45:12,short,25329.5,25330.75,-10.0,8,breakout_ask_wall@25340.00,stop_loss
2025-10-10 05:49:13,2025-10-10 05:49:43,short,25333.5,25331.0,20.0,23,breakout_ask_wall@25340.00,profit_target
2025-10-10 05:50:05,2025-10-10 05:50:58,short,25330.5,25331.75,-10.0,46,breakout_ask_wall@25325.00,stop_loss
2025-10-10 05:53:14,2025-10-10 05:55:16,short,25329.25,25330.5,-10.0,93,breakout_ask_wall@25325.00,stop_loss
2025-10-10 05:55:46,2025-10-10 05:56:18,short,25330.0,25327.5,20.0,23,breakout_ask_wall@25325.00,profit_target
2025-10-10 05:58:04,2025-10-10 05:59:41,short,25332.25,25333.5,-10.0,72,breakout_ask_wall@25325.00,stop_loss
