entry_time,exit_time,direction,entry_price,exit_price,pnl,bars_held,reason,exit_reason
2025-10-13 04:02:26,2025-10-13 04:02:57,long,24787.5,24790.0,20.0,31,breakout_bid_wall@24800.00,profit_target
2025-10-13 04:18:20,2025-10-13 04:18:40,long,24793.75,24796.25,20.0,17,breakout_bid_wall@24800.00,profit_target
2025-10-13 04:19:10,2025-10-13 04:19:22,long,24795.75,24794.5,-10.0,10,breakout_bid_wall@24797.75,stop_loss
2025-10-13 04:19:48,2025-10-13 04:19:51,long,24796.75,24795.5,-10.0,3,breakout_bid_wall@24800.00,stop_loss
2025-10-13 04:25:24,2025-10-13 04:25:37,long,24796.25,24795.0,-10.0,13,breakout_bid_wall@24793.00,stop_loss
2025-10-13 04:26:01,2025-10-13 04:26:07,long,24793.25,24795.75,20.0,6,breakout_bid_wall@24800.00,profit_target
2025-10-13 04:26:32,2025-10-13 04:26:37,long,24796.75,24795.5,-10.0,5,breakout_bid_wall@24786.00,stop_loss
2025-10-13 04:27:30,2025-10-13 04:27:36,long,24796.5,24799.0,20.0,6,breakout_bid_wall@24800.00,profit_target
2025-10-13 04:29:59,2025-10-13 04:30:00,long,24796.0,24798.5,20.0,1,breakout_bid_wall@24800.00,profit_target
2025-10-13 04:31:44,2025-10-13 04:31:47,long,24800.5,24799.25,-10.0,3,breakout_bid_wall@24800.00,stop_loss
2025-10-13 04:34:49,2025-10-13 04:34:56,long,24803.0,24801.75,-10.0,7,breakout_bid_wall@24803.00,stop_loss
2025-10-13 04:36:03,2025-10-13 04:36:05,long,24803.25,24802.0,-10.0,2,breakout_bid_wall@24800.00,stop_loss
2025-10-13 04:37:44,2025-10-13 04:37:53,long,24802.5,24801.25,-10.0,7,breakout_bid_wall@24800.00,stop_loss
2025-10-13 04:44:58,2025-10-13 04:45:21,long,24798.25,24797.0,-10.0,19,breakout_bid_wall@24800.00,stop_loss
2025-10-13 04:45:44,2025-10-13 04:45:47,long,24803.75,24802.5,-10.0,2,breakout_bid_wall@24800.00,stop_loss
2025-10-13 04:45:51,2025-10-13 04:47:00,long,24802.75,24801.5,-10.0,59,breakout_bid_wall@24800.00,stop_loss
2025-10-13 05:03:21,2025-10-13 05:03:25,long,24803.25,24805.75,20.0,4,breakout_bid_wall@24800.00,profit_target
2025-10-13 05:03:26,2025-10-13 05:03:51,long,24805.5,24804.25,-10.0,24,breakout_bid_wall@24800.00,stop_loss
2025-10-13 05:04:23,2025-10-13 05:04:28,long,24807.0,24805.75,-10.0,5,breakout_bid_wall@24800.00,stop_loss
2025-10-13 05:04:33,2025-10-13 05:04:43,long,24808.25,24807.0,-10.0,10,breakout_bid_wall@24800.00,stop_loss
2025-10-13 05:33:10,2025-10-13 05:33:22,long,24831.75,24830.5,-10.0,10,breakout_bid_wall@24843.00,stop_loss
2025-10-13 05:41:03,2025-10-13 05:41:08,long,24831.0,24829.75,-10.0,5,breakout_bid_wall@24843.50,stop_loss
2025-10-13 05:48:29,2025-10-13 05:48:32,long,24821.0,24819.75,-10.0,3,breakout_bid_wall@24820.00,stop_loss
2025-10-13 05:52:03,2025-10-13 05:52:04,long,24832.75,24831.5,-10.0,1,breakout_bid_wall@24841.00,stop_loss
2025-10-13 05:52:08,2025-10-13 05:52:11,long,24831.5,24834.0,20.0,3,breakout_bid_wall@24830.00,profit_target
2025-10-13 05:54:40,2025-10-13 05:54:52,short,24834.75,24836.0,-10.0,11,breakout_ask_wall@24845.25,stop_loss
2025-10-13 06:00:10,2025-10-13 06:00:13,long,24834.5,24833.25,-10.0,3,breakout_bid_wall@24846.75,stop_loss
